city,scenario,rank,component,component_label,component_short,component_order,component_color,component_score
Sydney,Balanced everyday comfort,1,day_temp_score,Day temperature,daytime mildness,1,#D99035,98.2
Sydney,Balanced everyday comfort,1,night_temp_score,Night temperature,sleep comfort,2,#5D77A6,97.6
Sydney,Balanced everyday comfort,1,heat_score,Heat burden,hot-day penalty,3,#C95A3C,97.54
Sydney,Balanced everyday comfort,1,rain_score,Rain burden,rain frequency + amount,4,#4B8BBE,77.31
Sydney,Balanced everyday comfort,1,humidity_score,Humidity,muggy-air penalty,5,#6B8E9A,94.68
Sydney,Balanced everyday comfort,1,sunshine_score,Sunshine,solar exposure,6,#D8A83D,49.04
Sydney,Balanced everyday comfort,1,stability_score,Seasonal stability,less monthly swing,7,#6B9E77,79.16
Brisbane,Balanced everyday comfort,2,day_temp_score,Day temperature,daytime mildness,1,#D99035,91
Brisbane,Balanced everyday comfort,2,night_temp_score,Night temperature,sleep comfort,2,#5D77A6,96.67
Brisbane,Balanced everyday comfort,2,heat_score,Heat burden,hot-day penalty,3,#C95A3C,93.83
Brisbane,Balanced everyday comfort,2,rain_score,Rain burden,rain frequency + amount,4,#4B8BBE,81.76
Brisbane,Balanced everyday comfort,2,humidity_score,Humidity,muggy-air penalty,5,#6B8E9A,98.81
Brisbane,Balanced everyday comfort,2,sunshine_score,Sunshine,solar exposure,6,#D8A83D,60.7
Brisbane,Balanced everyday comfort,2,stability_score,Seasonal stability,less monthly swing,7,#6B9E77,74.82
Adelaide,Balanced everyday comfort,3,day_temp_score,Day temperature,daytime mildness,1,#D99035,91.07
Adelaide,Balanced everyday comfort,3,night_temp_score,Night temperature,sleep comfort,2,#5D77A6,95.67
Adelaide,Balanced everyday comfort,3,heat_score,Heat burden,hot-day penalty,3,#C95A3C,89.81
Adelaide,Balanced everyday comfort,3,rain_score,Rain burden,rain frequency + amount,4,#4B8BBE,86.66
Adelaide,Balanced everyday comfort,3,humidity_score,Humidity,muggy-air penalty,5,#6B8E9A,96.52
Adelaide,Balanced everyday comfort,3,sunshine_score,Sunshine,solar exposure,6,#D8A83D,53.29
Adelaide,Balanced everyday comfort,3,stability_score,Seasonal stability,less monthly swing,7,#6B9E77,66.02
Perth,Balanced everyday comfort,4,day_temp_score,Day temperature,daytime mildness,1,#D99035,87.2
Perth,Balanced everyday comfort,4,night_temp_score,Night temperature,sleep comfort,2,#5D77A6,96.67
Perth,Balanced everyday comfort,4,heat_score,Heat burden,hot-day penalty,3,#C95A3C,83.8
Perth,Balanced everyday comfort,4,rain_score,Rain burden,rain frequency + amount,4,#4B8BBE,83.76
Perth,Balanced everyday comfort,4,humidity_score,Humidity,muggy-air penalty,5,#6B8E9A,97.43
Perth,Balanced everyday comfort,4,sunshine_score,Sunshine,solar exposure,6,#D8A83D,61.23
Perth,Balanced everyday comfort,4,stability_score,Seasonal stability,less monthly swing,7,#6B9E77,70.66
Melbourne,Balanced everyday comfort,5,day_temp_score,Day temperature,daytime mildness,1,#D99035,91.07
Melbourne,Balanced everyday comfort,5,night_temp_score,Night temperature,sleep comfort,2,#5D77A6,90.6
Melbourne,Balanced everyday comfort,5,heat_score,Heat burden,hot-day penalty,3,#C95A3C,94.02
Melbourne,Balanced everyday comfort,5,rain_score,Rain burden,rain frequency + amount,4,#4B8BBE,83.79
Melbourne,Balanced everyday comfort,5,humidity_score,Humidity,muggy-air penalty,5,#6B8E9A,95.23
Melbourne,Balanced everyday comfort,5,sunshine_score,Sunshine,solar exposure,6,#D8A83D,42.72
Melbourne,Balanced everyday comfort,5,stability_score,Seasonal stability,less monthly swing,7,#6B9E77,59.03
Hobart,Balanced everyday comfort,6,day_temp_score,Day temperature,daytime mildness,1,#D99035,83.53
Hobart,Balanced everyday comfort,6,night_temp_score,Night temperature,sleep comfort,2,#5D77A6,83.2
Hobart,Balanced everyday comfort,6,heat_score,Heat burden,hot-day penalty,3,#C95A3C,99.07
Hobart,Balanced everyday comfort,6,rain_score,Rain burden,rain frequency + amount,4,#4B8BBE,86.02
Hobart,Balanced everyday comfort,6,humidity_score,Humidity,muggy-air penalty,5,#6B8E9A,93.49
Hobart,Balanced everyday comfort,6,sunshine_score,Sunshine,solar exposure,6,#D8A83D,35.26
Hobart,Balanced everyday comfort,6,stability_score,Seasonal stability,less monthly swing,7,#6B9E77,45.05
Canberra,Balanced everyday comfort,7,day_temp_score,Day temperature,daytime mildness,1,#D99035,83.47
Canberra,Balanced everyday comfort,7,night_temp_score,Night temperature,sleep comfort,2,#5D77A6,66.67
Canberra,Balanced everyday comfort,7,heat_score,Heat burden,hot-day penalty,3,#C95A3C,95.39
Canberra,Balanced everyday comfort,7,rain_score,Rain burden,rain frequency + amount,4,#4B8BBE,86.3
Canberra,Balanced everyday comfort,7,humidity_score,Humidity,muggy-air penalty,5,#6B8E9A,94.68
Canberra,Balanced everyday comfort,7,sunshine_score,Sunshine,solar exposure,6,#D8A83D,53.03
Canberra,Balanced everyday comfort,7,stability_score,Seasonal stability,less monthly swing,7,#6B9E77,33.78
Darwin,Balanced everyday comfort,8,day_temp_score,Day temperature,daytime mildness,1,#D99035,51
Darwin,Balanced everyday comfort,8,night_temp_score,Night temperature,sleep comfort,2,#5D77A6,66
Darwin,Balanced everyday comfort,8,heat_score,Heat burden,hot-day penalty,3,#C95A3C,62.34
Darwin,Balanced everyday comfort,8,rain_score,Rain burden,rain frequency + amount,4,#4B8BBE,71.37
Darwin,Balanced everyday comfort,8,humidity_score,Humidity,muggy-air penalty,5,#6B8E9A,90.1
Darwin,Balanced everyday comfort,8,sunshine_score,Sunshine,solar exposure,6,#D8A83D,75.92
Darwin,Balanced everyday comfort,8,stability_score,Seasonal stability,less monthly swing,7,#6B9E77,44.78
Sydney,Avoid hot days,1,day_temp_score,Day temperature,daytime mildness,1,#D99035,98.2
Sydney,Avoid hot days,1,night_temp_score,Night temperature,sleep comfort,2,#5D77A6,97.6
Sydney,Avoid hot days,1,heat_score,Heat burden,hot-day penalty,3,#C95A3C,97.54
Sydney,Avoid hot days,1,rain_score,Rain burden,rain frequency + amount,4,#4B8BBE,77.31
Sydney,Avoid hot days,1,humidity_score,Humidity,muggy-air penalty,5,#6B8E9A,94.68
Sydney,Avoid hot days,1,sunshine_score,Sunshine,solar exposure,6,#D8A83D,49.04
Sydney,Avoid hot days,1,stability_score,Seasonal stability,less monthly swing,7,#6B9E77,79.16
Brisbane,Avoid hot days,2,day_temp_score,Day temperature,daytime mildness,1,#D99035,91
Brisbane,Avoid hot days,2,night_temp_score,Night temperature,sleep comfort,2,#5D77A6,96.67
