"Monthly Climate Statistics for 'ADELAIDE (WEST TERRACE / NGAYIRDAPIRA)' [023000]"
"Created on [ 13 May 2026 13:30:18 UTC]"

"023000 ADELAIDE (WEST TERRACE / NGAYIRDAPIRA)"
"Commenced: 1839"
"Last Record: 2026"
"Latitude:   34.93 Degrees South"
"Longitude:  138.58 Degrees East"
"Elevation:      29 m"
"State: SA"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (°C) for years 1887 to 2026 ",28.7,28.6,26.1,22.2,18.6,15.8,15.0,16.1,18.5,21.4,24.4,26.9,21.9,101,1887,2026
"Highest temperature (°C) for years 1887 to 2026 ",46.6,43.4,41.8,36.3,32.3,25.6,26.6,29.1,35.1,38.9,42.7,45.3,46.6,101,1887,2026
"Date of Highest temperature  °C  for years 1887 to 2026 ",24 Jan  2019,01 Feb  1912,03 Mar  1942,09 Apr  2018,04 May  1921,04 Jun  1957,29 Jul  1975,31 Aug  1911,30 Sep  1961,30 Oct  1919,30 Nov  1962,19 Dec  2019,24 Jan  2019,N/A,1887,2026
"Lowest maximum temperature (°C) for years 1887 to 2026 ",17.1,15.8,15.0,11.9,11.2,8.3,8.8,9.3,10.9,11.2,13.4,15.4,8.3,101,1887,2026
"Date of Lowest maximum temperature  °C  for years 1887 to 2026 ",03 Jan  1970,27 Feb  1939,16 Mar  1946,25 Apr  1938,31 May  1892,29 Jun  1922,11 Jul  1931,11 Aug  1960,13 Sep  1969,01 Oct  1968,06 Nov  1953,03 Dec  1955,29 Jun  1922,N/A,1887,2026
"Decile 1 maximum temperature (°C) for years 1887 to 2025 ",21.8,22.0,20.4,17.6,15.1,13.2,12.5,13.1,14.3,16.0,18.2,20.1, ,100,1887,2025
"Decile 9 maximum temperature (°C) for years 1887 to 2025 ",36.9,36.6,33.4,28.7,23.4,18.7,17.8,19.9,24.3,28.9,33.1,35.6, ,100,1887,2025
"Mean number of days >= 30 °C for years 1887 to 2026 ",11.9,10.7,7.2,2.1,0.1,0.0,0.0,0.0,0.2,2.3,6.0,9.1,49.6,101,1887,2026
"Mean number of days >= 35 °C for years 1887 to 2026 ",5.5,4.3,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.5,3.8,16.9,101,1887,2026
"Mean number of days >= 40 °C for years 1887 to 2026 ",1.1,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.6,2.6,101,1887,2026
"Mean minimum temperature (°C) for years 1887 to 2026 ",16.6,16.8,15.2,12.8,10.4,8.5,7.6,8.1,9.3,11.2,13.2,15.1,12.1,101,1887,2026
"Lowest temperature (°C) for years 1887 to 2026 ",8.8,7.8,6.9,5.1,2.9,0.8,0.6,0.8,1.3,2.7,5.5,6.8,0.6,101,1887,2026
"Date of Lowest temperature  °C  for years 1887 to 2026 ",21 Jan  1924,23 Feb  1918,21 Mar  1933,07 Apr  1917,26 May  1889,24 Jun  1944,03 Jul  2024,05 Aug  2020,17 Sep  2024,10 Oct  1910,03 Nov  1974,03 Dec  1955,03 Jul  2024,N/A,1887,2026
