"Monthly Climate Statistics for 'BRISBANE REGIONAL OFFICE' [040214]"
"Created on [ 13 May 2026 13:42:17 UTC]"

"040214 BRISBANE REGIONAL OFFICE"
"Commenced: 1840"
"Last Record: 1994"
"Latitude:   27.47 Degrees South"
"Longitude:  153.03 Degrees East"
"Elevation:      38 m"
"State: QLD"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (°C) for years 1887 to 1986 ",29.4,29.0,28.0,26.1,23.2,20.9,20.4,21.8,24.1,26.1,27.8,29.1,25.5,99,1887,1986
"Highest temperature (°C) for years 1887 to 1986 ",43.2,40.9,38.8,36.1,32.4,31.6,29.1,32.8,38.3,40.7,41.2,41.2,43.2,99,1887,1986
"Date of Highest temperature  °C  for years 1887 to 1986 ",26 Jan  1940,21 Feb  1925,13 Mar  1965,19 Apr  1973,21 May  1923,19 Jun  1918,23 Jul  1946,14 Aug  1946,22 Sep  1943,30 Oct  1958,18 Nov  1913,07 Dec  1981,26 Jan  1940,N/A,1887,1986
"Lowest maximum temperature (°C) for years 1887 to 1986 ",19.8,20.7,19.2,16.3,13.3,11.3,10.6,10.2,14.9,15.2,16.7,18.9,10.2,99,1887,1986
"Date of Lowest maximum temperature  °C  for years 1887 to 1986 ",06 Jan  1920,03 Feb  1906,07 Mar  1921,26 Apr  1983,26 May  1904,20 Jun  1916,04 Jul  1938,12 Aug  1954,10 Sep  1935,02 Oct  1898,08 Nov  1917,02 Dec  1888,12 Aug  1954,N/A,1887,1986
"Decile 1 maximum temperature (°C) for years 1887 to 1986 ",26.2,25.8,24.9,23.3,20.5,18.1,17.7,19.1,21.0,22.5,24.3,25.7, ,101,1887,1986
"Decile 9 maximum temperature (°C) for years 1887 to 1986 ",32.7,32.2,31.0,29.2,26.0,23.5,23.1,24.8,27.4,29.9,31.4,32.6, ,101,1887,1986
"Mean number of days >= 30 °C for years 1887 to 1986 ",11.9,9.4,5.8,1.8,0.1,0.0,0.0,0.1,0.7,3.1,6.0,10.9,49.8,99,1887,1986
"Mean number of days >= 35 °C for years 1887 to 1986 ",1.0,0.5,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.2,0.5,1.0,3.5,99,1887,1986
"Mean number of days >= 40 °C for years 1887 to 1986 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,99,1887,1986
"Mean minimum temperature (°C) for years 1887 to 1986 ",20.7,20.6,19.4,16.6,13.3,10.9,9.5,10.3,12.9,15.8,18.1,19.8,15.7,99,1887,1986
"Lowest temperature (°C) for years 1887 to 1986 ",14.9,14.7,11.3,6.9,4.8,2.4,2.3,2.7,4.8,6.3,9.2,13.5,2.3,99,1887,1986
"Date of Lowest temperature  °C  for years 1887 to 1986 ",04 Jan  1893,23 Feb  1931,29 Mar  1913,25 Apr  1925,30 May  1951,29 Jun  1908,02 Jul  1896,13 Aug  1964,01 Sep  1896,03 Oct  1899,02 Nov  1905,05 Dec  1955,02 Jul  1896,N/A,1887,1986
"Highest minimum temperature (°C) for years 1887 to 1986 ",28.0,26.0,25.5,23.6,21.9,19.0,18.9,17.8,22.2,23.2,25.2,26.4,28.0,99,1887,1986
"Date of Highest minimum temperature  °C  for years 1887 to 1986 ",29 Jan  1940,19 Feb  1982,14 Mar  1973,20 Apr  1973,20 May  1892,01 Jun  1981,02 Jul  1920,13 Aug  1950,25 Sep  1981,13 Oct  1979,24 Nov  1968,26 Dec  1972,29 Jan  1940,N/A,1887,1986
"Decile 1 minimum temperature (°C) for years 1887 to 1986 ",18.3,18.4,17.2,13.6,9.8,7.2,5.8,6.8,9.7,12.7,15.3,17.3, ,101,1887,1986
"Decile 9 minimum temperature (°C) for years 1887 to 1986 ",23.1,22.8,21.7,19.4,16.4,14.3,13.1,13.6,16.0,18.7,20.8,22.3, ,101,1887,1986
"Mean number of days <= 2 °C for years 1887 to 1986 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,1887,1986
"Mean number of days <= 0 °C for years 1887 to 1986 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99,1887,1986
