"Monthly Climate Statistics for 'SYDNEY (OBSERVATORY HILL)' [066062]"
"Created on [ 13 May 2026 15:17:30 UTC]"

"066062 SYDNEY (OBSERVATORY HILL)"
"Commenced: 1858"
"Last Record: 2020"
"Latitude:   33.86 Degrees South"
"Longitude:  151.21 Degrees East"
"Elevation:      39 m"
"State: NSW"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (°C) for years 1859 to 2020 ",26.0,25.8,24.8,22.5,19.5,17.0,16.4,17.9,20.1,22.2,23.7,25.3,21.8,162,1859,2020
"Highest temperature (°C) for years 1859 to 2020 ",45.8,42.1,39.8,35.4,30.0,26.9,26.5,31.3,34.6,38.2,41.8,42.2,45.8,162,1859,2020
"Date of Highest temperature  °C  for years 1859 to 2020 ",18 Jan  2013,08 Feb  1926,09 Mar  1983,09 Apr  2018,01 May  1919,11 Jun  1931,30 Jul  2017,26 Aug  1995,26 Sep  1965,13 Oct  2004,25 Nov  1982,20 Dec  1957,18 Jan  2013,N/A,1859,2020
"Lowest maximum temperature (°C) for years 1859 to 2020 ",17.2,15.6,16.2,13.8,11.3,9.7,7.7,9.1,9.5,12.1,12.6,15.2,7.7,162,1859,2020
"Date of Lowest maximum temperature  °C  for years 1859 to 2020 ",14 Jan  1948,28 Feb  1863,13 Mar  1886,22 Apr  1927,24 May  1904,13 Jun  1899,19 Jul  1868,09 Aug  1872,08 Sep  1869,02 Oct  1871,16 Nov  1988,24 Dec  1870,19 Jul  1868,N/A,1859,2020
"Decile 1 maximum temperature (°C) for years 1859 to 2020 ",22.1,22.2,21.3,18.9,16.2,14.1,13.4,14.4,16.0,17.6,19.3,21.1, ,162,1859,2020
"Decile 9 maximum temperature (°C) for years 1859 to 2020 ",30.1,29.4,28.2,26.1,23.0,20.1,19.6,21.7,25.1,27.8,28.9,30.2, ,162,1859,2020
"Mean number of days >= 30 °C for years 1859 to 2020 ",3.3,2.3,1.6,0.4,0.0,0.0,0.0,0.0,0.4,1.6,2.3,3.3,15.2,162,1859,2020
"Mean number of days >= 35 °C for years 1859 to 2020 ",0.9,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.6,0.8,3.2,162,1859,2020
"Mean number of days >= 40 °C for years 1859 to 2020 ",0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,162,1859,2020
"Mean minimum temperature (°C) for years 1859 to 2020 ",18.8,18.9,17.6,14.8,11.6,9.3,8.1,9.0,11.1,13.6,15.7,17.6,13.8,162,1859,2020
