"Monthly Climate Statistics for 'DARWIN AIRPORT' [014015]"
"Created on [ 13 May 2026 14:04:11 UTC]"

"014015 DARWIN AIRPORT"
"Commenced: 1941"
"Last Record: 2026"
"Latitude:   12.42 Degrees South"
"Longitude:  130.89 Degrees East"
"Elevation:      30 m"
"State: NT"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (°C) for years 1941 to 2026 ",31.8,31.5,32.0,32.8,32.1,30.8,30.7,31.5,32.7,33.4,33.4,32.8,32.1,84,1941,2026
"Highest temperature (°C) for years 1941 to 2026 ",36.1,36.0,36.0,36.7,36.0,35.0,35.0,37.0,38.0,38.9,37.3,37.1,38.9,85,1941,2026
"Date of Highest temperature  °C  for years 1941 to 2026 ",07 Jan  2014,20 Feb  1972,09 Mar  2022,16 Apr  2003,02 May  1942,15 Jun  2020,11 Jul  2020,30 Aug  1971,21 Sep  2021,18 Oct  1982,01 Nov  2018,09 Dec  2019,18 Oct  1982,N/A,1941,2026
"Lowest maximum temperature (°C) for years 1941 to 2026 ",25.7,24.8,25.7,21.9,22.7,22.7,21.1,25.1,26.8,24.7,25.6,24.0,21.1,85,1941,2026
"Date of Lowest maximum temperature  °C  for years 1941 to 2026 ",29 Jan  1989,15 Feb  2011,22 Mar  1960,11 Apr  2017,20 May  1981,20 Jun  2007,14 Jul  1968,17 Aug  2007,17 Sep  2024,20 Oct  2000,02 Nov  2010,17 Dec  1954,14 Jul  1968,N/A,1941,2026
"Decile 1 maximum temperature (°C) for years 1941 to 2025 ",29.4,29.2,29.7,31.0,30.1,28.4,28.6,29.5,30.8,31.7,31.7,30.4, ,78,1941,2025
"Decile 9 maximum temperature (°C) for years 1941 to 2025 ",33.6,33.4,33.8,34.4,33.9,32.7,32.7,33.4,34.7,35.0,34.8,34.4, ,78,1941,2025
"Mean number of days >= 30 °C for years 1941 to 2026 ",26.4,23.1,27.6,28.6,28.4,21.4,21.5,26.3,29.1,30.4,29.3,28.8,320.9,85,1941,2026
"Mean number of days >= 35 °C for years 1941 to 2026 ",0.3,0.1,0.4,1.3,0.3,0.0,0.0,0.4,2.6,3.5,3.1,1.9,13.9,85,1941,2026
"Mean number of days >= 40 °C for years 1941 to 2026 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,1941,2026
"Mean minimum temperature (°C) for years 1941 to 2026 ",24.9,24.8,24.6,24.1,22.2,20.0,19.3,20.3,23.0,25.0,25.4,25.4,23.3,85,1941,2026
"Lowest temperature (°C) for years 1941 to 2026 ",20.2,17.2,19.2,16.0,13.8,12.1,10.4,13.0,14.3,19.0,19.3,19.8,10.4,85,1941,2026
"Date of Lowest temperature  °C  for years 1941 to 2026 ",23 Jan  1985,25 Feb  1949,31 Mar  1945,11 Apr  1943,27 May  1990,23 Jun  1963,29 Jul  1942,23 Aug  2014,01 Sep  2006,20 Oct  2000,04 Nov  1950,04 Dec  1974,29 Jul  1942,N/A,1941,2026
"Highest minimum temperature (°C) for years 1941 to 2026 ",29.9,30.0,29.2,28.3,26.6,25.6,26.6,25.6,27.4,29.2,29.7,30.2,30.2,85,1941,2026
"Date of Highest minimum temperature  °C  for years 1941 to 2026 ",01 Jan  2024,03 Feb  2025,03 Mar  2016,03 Apr  1958,12 May  1992,12 Jun  2001,26 Jul  2010,13 Aug  1981,25 Sep  2022,24 Oct  2022,25 Nov  1987,27 Dec  2019,27 Dec  2019,N/A,1941,2026
"Decile 1 minimum temperature (°C) for years 1941 to 2025 ",22.7,22.8,22.8,22.2,19.1,16.5,16.3,17.4,20.8,23.1,22.9,23.0, ,78,1941,2025
"Decile 9 minimum temperature (°C) for years 1941 to 2025 ",27.3,26.9,26.4,25.6,24.6,22.8,22.2,23.0,25.0,26.6,27.5,27.8, ,78,1941,2025
"Mean number of days <= 2 °C for years 1941 to 2026 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,1941,2026
"Mean number of days <= 0 °C for years 1941 to 2026 ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,1941,2026
"Mean daily ground minimum temperature °C for years 1991 to 2025 ",24.9,24.8,24.4,23.4,21.2,18.8,18.0,18.8,22.2,24.5,25.1,25.3,22.6,35,1991,2025
"Lowest ground temperature °C for years 1991 to 2025 ",17.9,20.2,19.7,16.5,13.2,10.5,10.5,10.6,12.4,18.5,18.0,20.0,10.5,35,1991,2025
"Date of Lowest ground temperature °C for years 1991 to 2025 ",02 Jan  1992,02 Feb  2022,24 Mar  1992,14 Apr  1994,31 May  2002,15 Jun  2011,26 Jul  2008,17 Aug  2002,01 Sep  2006,01 Oct  2002,05 Nov  2002,18 Dec  2002,26 Jul  2008,N/A,1991,2025
