"Monthly Climate Statistics for 'PERTH METRO' [009225]"
"Created on [ 13 May 2026 15:02:03 UTC]"

"009225 PERTH METRO"
"Commenced: 1993"
"Last Record: 2026"
"Latitude:   31.92 Degrees South"
"Longitude:  115.87 Degrees East"
"Elevation:      25 m"
"State: WA"

"Statistic Element","January","February","March","April","May","June","July","August","September","October","November","December","Annual","Number of Years","Start Year","End Year"
"Mean maximum temperature (°C) for years 1994 to 2026 ",31.4,31.7,29.7,26.0,22.5,19.5,18.5,19.2,20.7,23.5,26.8,29.6,24.9,32,1994,2026
"Highest temperature (°C) for years 1994 to 2026 ",44.4,44.5,42.4,39.5,34.3,26.2,25.8,30.0,34.3,37.2,40.4,44.2,44.5,32,1994,2026
"Date of Highest temperature  °C  for years 1994 to 2026 ",05 Jan  2015,26 Feb  1997,07 Mar  2007,11 Apr  2020,01 May  2002,01 Jun  2009,21 Jul  1994,28 Aug  2019,27 Sep  2023,30 Oct  2013,16 Nov  2019,26 Dec  2007,26 Feb  1997,N/A,1994,2026
"Lowest maximum temperature (°C) for years 1994 to 2026 ",19.7,17.4,18.4,15.9,11.5,11.5,12.5,11.4,13.5,15.8,16.0,19.0,11.4,32,1994,2026
"Date of Lowest maximum temperature  °C  for years 1994 to 2026 ",03 Jan  2007,09 Feb  2017,31 Mar  2008,01 Apr  2005,23 May  1995,12 Jun  2005,14 Jul  2003,25 Aug  2025,03 Sep  1999,09 Oct  2005,08 Nov  1995,05 Dec  2015,25 Aug  2025,N/A,1994,2026
"Decile 1 maximum temperature (°C) for years 1994 to 2025 ",25.1,25.7,24.3,21.8,18.8,16.4,15.7,16.3,17.2,19.3,21.5,23.2, ,31,1994,2025
"Decile 9 maximum temperature (°C) for years 1994 to 2025 ",37.5,37.9,35.4,31.1,26.7,22.4,21.0,22.3,24.9,29.3,33.1,37.0, ,31,1994,2025
"Mean number of days >= 30 °C for years 1994 to 2026 ",18.3,17.5,13.8,4.7,0.4,0.0,0.0,0.0,0.4,2.6,7.7,13.2,78.6,32,1994,2026
"Mean number of days >= 35 °C for years 1994 to 2026 ",7.7,7.1,3.9,0.4,0.0,0.0,0.0,0.0,0.0,0.3,2.0,5.4,26.8,32,1994,2026
"Mean number of days >= 40 °C for years 1994 to 2026 ",1.4,1.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,4.2,32,1994,2026
"Mean minimum temperature (°C) for years 1994 to 2026 ",18.2,18.4,16.9,13.8,10.6,8.7,8.1,8.5,9.7,11.7,14.4,16.6,13.0,32,1994,2026
"Lowest temperature (°C) for years 1994 to 2026 ",8.9,9.9,6.3,4.7,1.3,-0.7,0.0,1.3,1.0,2.2,5.0,6.6,-0.7,32,1994,2026
"Date of Lowest temperature  °C  for years 1994 to 2026 ",25 Jan  2001,01 Feb  2016,27 Mar  2007,29 Apr  2000,25 May  2012,17 Jun  2006,03 Jul  2010,21 Aug  2000,22 Sep  2008,06 Oct  1994,18 Nov  2004,01 Dec  2020,17 Jun  2006,N/A,1994,2026
"Highest minimum temperature (°C) for years 1994 to 2026 ",29.7,27.7,28.1,23.6,19.2,16.3,16.5,17.1,18.2,21.3,24.4,27.3,29.7,32,1994,2026
"Date of Highest minimum temperature  °C  for years 1994 to 2026 ",12 Jan  2014,17 Feb  2004,12 Mar  2010,02 Apr  2022,03 May  2002,11 Jun  2012,02 Jul  2014,07 Aug  2013,30 Sep  2010,20 Oct  2008,23 Nov  2004,29 Dec  2012,12 Jan  2014,N/A,1994,2026
"Decile 1 minimum temperature (°C) for years 1994 to 2025 ",14.5,14.8,12.8,9.3,5.9,3.7,2.5,3.8,5.4,7.7,10.9,13.1, ,31,1994,2025
"Decile 9 minimum temperature (°C) for years 1994 to 2025 ",22.0,22.0,20.7,18.0,15.1,13.1,12.7,12.8,13.7,15.7,17.9,20.5, ,31,1994,2025
"Mean number of days <= 2 °C for years 1994 to 2026 ",0.0,0.0,0.0,0.0,0.1,0.5,2.1,0.4,0.2,0.0,0.0,0.0,3.3,32,1994,2026
"Mean number of days <= 0 °C for years 1994 to 2026 ",0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,32,1994,2026
"Mean daily ground minimum temperature °C for years null to null ", , , , , , , , , , , , , ,, , 
"Lowest ground temperature °C for years null to null ", , , , , , , , , , , , , ,, , 
"Date of Lowest ground temperature °C for years null to null ", , , , , , , , , , , , , ,N/A, , 
"Mean number of days ground min. temp. <= -1 °C for years null to null ", , , , , , , , , , , , , ,, , 
"Mean rainfall (mm) for years 1993 to 2026 ",15.9,12.7,20.0,35.1,85.5,127.1,147.0,125.2,79.9,40.0,24.0,9.6,718.5,33,1993,2026
"Highest rainfall (mm) for years 1993 to 2026 ",139.0,137.2,69.6,153.6,191.2,251.0,278.6,203.8,144.2,122.8,92.0,75.8,904.8,33,1993,2026
"Date of Highest rainfall for years 1993 to 2026 ",2000,2017,2013,2008,2005,2005,1995,2025,2013,2021,2020,2011,1995,N/A,1993,2026
"Lowest rainfall (mm) for years 1993 to 2026 ",0.0,0.0,0.0,0.0,17.8,24.6,34.6,27.8,31.4,5.2,3.2,0.0,466.8,33,1993,2026
"Date of Lowest rainfall for years 1993 to 2026 ",2022,2025,2011,2017,2019,2006,2012,2008,2019,2000,2018,2023,2006,N/A,1993,2026
"Decile 1 monthly rainfall (mm) for years 1800 to 3000 ",0.0,0.0,1.8,5.5,34.0,60.1,85.3,76.2,40.1,12.6,5.2,0.0, ,33,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",2.4,3.0,14.2,25.4,85.0,120.9,144.0,124.6,80.2,38.2,18.2,4.4, ,33,n/a,n/a
"Decile 5 (median) monthly rainfall (mm) for years 1800 to 3000 ",42.4,33.0,50.4,74.8,136.5,211.1,208.0,173.0,109.2,64.2,50.1,19.8, ,33,n/a,n/a
"Highest daily rainfall (mm) for years 1993 to 2026 ",104.0,114.4,40.2,69.6,50.4,71.2,88.8,63.8,35.8,68.2,40.4,43.6,114.4,33,1993,2026
"Date of Highest daily rainfall for years 1993 to 2026 ",22 Jan  2000,10 Feb  2017,23 Mar  2010,17 Apr  2002,02 May  2005,05 Jun  2023,30 Jul  2001,04 Aug  1994,22 Sep  2014,18 Oct  1995,09 Nov  2021,13 Dec  2011,10 Feb  2017,N/A,1993,2026
"Mean number of days of rain for years 1993 to 2026 ",2.7,2.3,4.5,6.7,11.0,14.7,17.8,16.1,14.3,9.1,5.6,3.2,108.0,33,1993,2026
"Mean number of days of rain >= 1 mm for years 1993 to 2026 ",1.6,1.2,2.6,4.6,8.6,11.6,14.7,13.1,10.7,5.8,3.8,1.8,80.1,33,1993,2026
"Mean number of days of rain >= 10 mm for years 1993 to 2026 ",0.3,0.4,0.6,1.0,3.0,4.4,5.5,4.6,2.8,1.2,0.8,0.2,24.8,33,1993,2026
"Mean number of days of rain >= 25 mm for years 1993 to 2026 ",0.1,0.1,0.2,0.3,0.9,1.1,1.1,0.9,0.4,0.2,0.1,0.1,5.5,33,1993,2026
"Mean daily wind run (km) for years 2003 to 2025 ",266,246,221,172,145,144,157,168,203,229,255,267,206,19,2003,2025
"Maximum wind gust speed (km/h) for years 2003 to 2025 ",61,80,70,76,80,72,76,78,83,70,74,63,83,22,2003,2025
"Date of Maximum wind gust speed for years 2003 to 2025 ",03 Jan  2012,25 Feb  2020,22 Mar  2010,19 Apr  2019,29 May  2024,29 Jun  2009,16 Jul  2013,01 Aug  2021,22 Sep  2013,01 Oct  2016,28 Nov  2012,14 Dec  2018,22 Sep  2013,N/A,2003,2025
"Mean daily sunshine (hours) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean daily solar exposure (MJ/(m*m)) for years 1990 to 2026 ",29.1,25.8,20.6,15.2,11.4,9.5,10.1,13.1,17.2,22.7,26.8,29.9,19.3,36,1990,2026
"Mean number of clear days for years null to null ", , , , , , , , , , , , , ,, , 
"Mean number of cloudy days for years null to null ", , , , , , , , , , , , , ,, , 
"Mean daily evaporation (mm) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean 9am temperature (°C) for years 1994 to 2010 ",23.8,23.7,21.8,19.0,15.8,12.8,11.9,12.9,15.2,17.7,20.8,22.6,18.2,17,1994,2010
"Mean 9am wet bulb temperature (°C) for years 1994 to 2010 ",17.3,17.5,16.5,15.0,12.9,10.9,10.2,10.7,12.0,13.3,15.1,16.2,14.0,17,1994,2010
"Mean 9am dew point temperature (°C) for years 1994 to 2010 ",12.3,12.9,12.3,11.6,10.3,8.9,8.3,8.4,8.9,9.0,10.1,10.9,10.3,17,1994,2010
"Mean 9am relative humidity (%) for years 1994 to 2010 ",51,53,57,64,72,78,80,75,67,58,52,50,63,17,1994,2010
"Mean 9am cloud cover (okas) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean 9am wind speed (km/h) for years 1994 to 2010 ",13.9,14.0,13.0,10.4,9.6,9.6,9.7,10.6,12.4,13.6,13.8,13.9,12.0,17,1994,2010
"Mean 3pm temperature (°C) for years 1994 to 2011 ",29.0,29.5,27.9,24.3,21.4,18.2,17.2,17.7,18.7,21.3,24.2,26.8,23.0,17,1994,2011
"Mean 3pm wet bulb temperature (°C) for years 1994 to 2011 ",19.5,19.7,18.7,17.0,15.2,13.4,12.6,12.8,13.4,14.8,16.6,17.9,16.0,17,1994,2011
"Mean 3pm dew point temperature (°C) for years 1994 to 2011 ",12.6,12.7,11.7,11.0,9.7,8.7,8.0,7.9,8.3,8.8,10.1,11.1,10.0,17,1994,2011
"Mean 3pm relative humidity (%) for years 1994 to 2011 ",39,38,40,46,50,56,57,54,53,47,44,41,47,17,1994,2011
"Mean 3pm cloud cover (oktas) for years null to null ", , , , , , , , , , , , , ,, , 
"Mean 3pm wind speed (km/h) for years 1994 to 2011 ",19.0,17.9,15.9,14.3,12.5,13.0,13.3,14.3,16.6,18.1,18.7,19.5,16.1,17,1994,2011
